City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,23.03,68,0,10.29,PE,1701548366
1,adamstown,-25.066,-130.1015,22.19,83,12,5.92,PN,1701548475
2,iqaluit,63.7506,-68.5145,-5.15,58,75,8.75,CA,1701548477
3,grytviken,-54.2811,-36.5092,4.63,93,100,4.95,GS,1701548477
4,fauske,67.2588,15.3918,-5.68,74,100,2.68,NO,1701548478
5,stanley,54.868,-1.6985,-1.8,96,40,1.03,GB,1701548424
6,puerto natales,-51.7236,-72.4875,6.25,75,75,11.32,CL,1701548480
7,pacific grove,36.6177,-121.9166,17.72,78,75,2.68,US,1701548481
8,bamboo flat,11.7,92.7167,26.05,94,40,0.51,IN,1701548481
9,grand falls-windsor,48.9332,-55.6649,1.95,88,100,0.68,CA,1701548482
10,vilyuchinsk,52.9306,158.4028,-7.26,84,100,3.79,RU,1701548476
11,santa terezinha,-29.9002,-50.0904,23.32,97,100,4.43,BR,1701548483
12,port-aux-francais,-49.35,70.2167,5.69,87,30,12.61,TF,1701548400
13,hasaki,35.7333,140.8333,2.22,53,100,1.8,JP,1701548484
14,colonia,50.9333,6.95,0.59,78,75,2.06,DE,1701548485
15,acheng,45.5454,126.977,-19.1,100,99,3.41,CN,1701548485
16,hamilton,39.1834,-84.5333,13.57,75,100,1.79,US,1701548330
17,zakynthos,37.7914,20.8953,19.68,90,100,8.26,GR,1701548487
18,tulum,20.2167,-87.4667,29.34,66,25,3.8,MX,1701548488
19,san patricio,28.017,-97.5169,23.05,59,100,6.13,US,1701548488
20,port elizabeth,-33.918,25.5701,19.62,91,75,1.34,ZA,1701548489
21,anatuya,-28.4606,-62.8347,29.47,70,70,4.81,AR,1701548486
22,bridgewater,44.3835,-64.5155,6.82,96,100,0.0,CA,1701548490
23,edinburgh of the seven seas,-37.0676,-12.3116,13.93,77,100,3.17,SH,1701548429
24,college,64.8569,-147.8028,-20.52,77,20,0.0,US,1701548377
25,bredasdorp,-34.5322,20.0403,17.34,70,100,2.31,ZA,1701548491
26,barah,13.7,30.3667,25.18,28,22,5.79,SD,1701548491
27,puerto cabezas,14.0351,-83.3888,29.98,74,75,3.09,NI,1701548037
28,revda,56.801,59.9303,-9.52,94,100,4.86,RU,1701548492
29,broome,42.2506,-75.833,12.61,89,100,2.06,US,1701548493
30,hithadhoo,-0.6,73.0833,27.88,74,100,4.82,MV,1701548433
31,albany,42.6001,-73.9662,10.4,92,93,0.64,US,1701547876
32,lebu,-37.6167,-73.65,12.87,53,0,9.55,CL,1701548494
33,bilibino,68.0546,166.4372,-25.88,96,63,1.09,RU,1701548441
34,touros,-5.1989,-35.4608,27.09,72,63,5.28,BR,1701548399
35,kapuskasing,49.4169,-82.4331,-0.95,59,20,3.09,CA,1701548496
36,mersing,2.4312,103.8405,24.95,94,40,2.06,MY,1701548496
37,waitangi,-43.9535,-176.5597,14.9,75,100,5.81,NZ,1701548397
38,mersa matruh,31.3525,27.2453,15.11,77,0,1.03,EG,1701548498
39,avarua,-21.2078,-159.775,26.03,82,20,4.63,CK,1701548395
40,prince albert,53.2001,-105.7677,-5.03,80,75,2.06,CA,1701548499
41,iwanai,42.9744,140.5089,1.29,83,100,2.11,JP,1701548500
42,ilulissat,69.2167,-51.1,-1.99,50,24,8.23,GL,1701548500
43,newman,37.3138,-121.0208,17.25,66,82,0.45,US,1701548500
44,thompson,55.7435,-97.8558,-8.91,92,75,1.03,CA,1701548321
45,ushuaia,-54.8,-68.3,6.81,70,75,7.72,AR,1701548386
46,raduzhny,62.0961,77.475,-23.72,99,98,1.87,RU,1701548502
47,porto novo,6.4965,2.6036,28.9,85,100,3.25,BJ,1701548463
48,nata,8.3333,-80.5167,32.93,62,99,4.92,PA,1701548503
49,blackmans bay,-43.0167,147.3167,13.07,94,100,2.16,AU,1701548402
50,buarcos,40.166,-8.8768,9.19,70,2,1.01,PT,1701548503
51,kununurra,-15.7667,128.7333,26.99,83,65,2.57,AU,1701548505
52,salmon arm,50.6998,-119.3024,1.62,80,100,1.03,CA,1701548505
53,carnarvon,-24.8667,113.6333,22.13,77,0,7.94,AU,1701548506
54,tieli,46.95,128.05,-17.83,99,100,1.99,CN,1701548507
55,egilsstadir,65.2653,-14.3948,-2.05,100,100,3.6,IS,1701548428
56,alesund,62.4723,6.1549,0.97,77,75,4.63,NO,1701548299
57,ajdabiya,30.7554,20.2263,18.3,27,100,4.83,LY,1701548508
58,oneonta,42.4529,-75.0638,10.45,98,99,1.65,US,1701548510
59,ulsteinvik,62.3432,5.8487,0.97,74,100,1.34,NO,1701548510
60,oriximina,-1.7656,-55.8661,34.38,42,70,0.68,BR,1701548511
61,yellowknife,62.456,-114.3525,-16.71,85,100,4.63,CA,1701548511
62,mount isa,-20.7333,139.5,27.87,65,100,3.6,AU,1701548463
63,port lincoln,-34.7333,135.8667,14.18,79,11,5.12,AU,1701548512
64,tromso,69.6496,18.957,-6.99,86,40,0.51,NO,1701548513
65,vila franca do campo,37.7167,-25.4333,17.16,99,100,5.06,PT,1701548513
66,quellon,-43.1167,-73.6167,11.32,57,73,5.2,CL,1701548514
67,el paraiso,13.8667,-86.55,27.82,45,1,2.92,HN,1701548514
68,illizi,26.4833,8.4667,17.89,13,0,1.89,DZ,1701548515
69,hadibu,12.65,54.0333,25.5,76,82,6.7,YE,1701548509
70,talnakh,69.4865,88.3972,-29.33,97,19,0.6,RU,1701548516
71,cockburn town,21.4612,-71.1419,27.98,69,40,4.63,TC,1701548516
72,berdyansk,46.7503,36.7944,9.08,97,91,4.36,UA,1701548517
73,ebon,4.582,168.6964,27.25,83,88,8.95,MH,1701548514
74,jamestown,42.097,-79.2353,10.01,97,100,2.06,US,1701548457
75,howard springs,-12.497,131.047,27.95,83,100,1.89,AU,1701548519
76,labuan,5.2767,115.2417,25.2,94,20,0.0,MY,1701548519
77,tobelo,1.7284,128.0095,27.23,81,94,1.39,ID,1701548520
78,stephenville,32.2207,-98.2023,22.3,35,0,6.69,US,1701548462
79,puerto ayora,-0.7393,-90.3518,25.86,88,77,3.13,EC,1701548324
80,port augusta,-32.5,137.7667,16.18,66,0,2.67,AU,1701548521
81,bethel,41.3712,-73.414,14.0,79,0,0.0,US,1701548406
82,middlebury (village),44.0153,-73.1673,5.68,94,100,2.06,US,1701548322
83,ribeira grande,38.5167,-28.7,15.22,55,40,6.26,PT,1701548399
84,georgetown,5.4112,100.3354,26.12,95,20,1.03,MY,1701548473
85,puerto armuelles,8.2833,-82.8667,31.99,68,62,1.34,PA,1701548266
86,keflavik,64.0049,-22.5624,-0.76,64,0,2.57,IS,1701548524
87,minas de marcona,-15.2119,-75.1103,19.62,58,76,8.63,PE,1701548240
88,ola,59.5833,151.2833,-12.61,90,100,2.77,RU,1701548399
89,nuuk,64.1835,-51.7216,1.34,75,40,1.54,GL,1701548360
90,kalymnos,36.95,26.9833,19.74,82,40,6.69,GR,1701548525
91,broken hill,-31.95,141.4333,16.56,66,90,4.57,AU,1701548256
92,mugia,43.1041,-9.2179,7.87,72,97,4.08,ES,1701548527
93,madang,-5.2246,145.7966,24.45,92,100,1.05,PG,1701548528
94,buala,-8.145,159.5921,27.32,85,94,1.49,SB,1701548529
95,west island,-12.1568,96.8225,25.99,73,100,3.6,CC,1701548530
96,udachny,66.4167,112.4,-34.2,66,97,1.46,RU,1701548530
97,nacozari de garcia,30.3742,-109.6908,15.7,30,0,1.02,MX,1701548531
